"Participant","l_fit","beta","tau","condition","NLL","AIC"
4ztz9cwlhttm9qqh4tmvwc5h,0.8480574790892763,0.39329846180734673,0.07097469493184291,0,744.347838148192,1498.695676296384
q4r34cr6mq3zmcmqmmt5rqmc,0.7647152684375271,0.16207421577239028,0.04374241176210057,0,638.43873524445,1286.8774704889
3vtqhqwww6vqhqz4c4zm46lw,1.4509215959783415,0.006737946999085467,0.04138036647815841,0,489.44656120045045,988.8931224009009
43rzq63t93hsl5ccc9369s5z,0.7383590453195912,0.3587153520969797,0.07330439375762005,0,813.9222244851325,1637.844448970265
v3tm3ztwwth66q4v5h3lr6h6,11.284519500386967,0.1627418538734246,0.05839151508408441,0,855.1685590850506,1720.3371181701011
sttm39wmrr9wqqqlvz6srv66,8.128742718809605,0.006737946999085467,0.05142718250682637,0,747.016820634538,1504.033641269076
h6rq4lm53rhrq5m39mhm4rt5,0.6950275144684946,0.10665538166064367,0.03220071383455402,0,478.9968060187316,967.9936120374632
56ts943rqw34c6m3hl3zh4lh,16.02471047060471,0.006737946999085467,0.05562105118353389,0,773.5324780229298,1557.0649560458596
43rz4qv6sc3wh3ttrhcq54m4,9.753025683881736,0.006737946999085467,0.07589274427579357,0,919.222995629156,1848.445991258312
z9t4qqr64trmqhr4lwczt4ms,3.755689704710749,0.09910890960094333,0.05004097014047712,0,645.3953522193322,1300.7907044386643
q5trh6qlcv3sh4w6whvws9lt,1.4465369440744267,0.2197313123009326,0.05535090887872976,0,741.3507724292191,1492.7015448584382
